provider_id,provider_name,provider_street_address,provider_city,provider_state,provider_zipcode,hospital_referral_region_description,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments,icd_category
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,15.0,2459.4,2901.266667,2075.4,G81
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,35.0,2749.942857,4784.514286,4018.542857,T79
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,12.0,3133.583333,3579.583333,2738.583333,I02
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,18.0,3282.277778,3790.166667,3214.222222,D18
370171.0,W W HASTINGS INDIAN HOSPITAL,100 S BLISS AVENUE,TAHLEQUAH,OK,74464.0,OK - Tulsa,11.0,3534.0,6441.0,5520.636364,P12
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,22.0,3566.227273,4179.5,3673.863636,D22
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,12.0,3603.416667,3440.0,2415.666667,B96
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,24.0,3885.833333,3971.041667,3127.375,D31
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,11.0,3937.454545,3772.363636,2817.818182,D28
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,14.0,4164.071429,3698.0,3055.714286,B95
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,45.0,4185.755556,4138.266667,3590.533333,D28
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,13.0,4371.769231,4189.846154,3582.769231,D29
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,11.0,4388.0,4405.0,3819.090909,R77
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,60.0,4466.233333,3513.0,2999.816667,D86
450270.0,LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692.0,TX - Waco,26.0,4744.461538,5846.692308,5284.384615,R82
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,29.0,4843.62069,4927.965517,4385.896552,D22
450754.0,HAMILTON GENERAL HOSPITAL,400 N BROWN,HAMILTON,TX,76531.0,TX - Waco,12.0,4880.5,4417.583333,4139.916667,J03
390122.0,TITUSVILLE HOSPITAL,406 WEST OAK STREET,TITUSVILLE,PA,16354.0,PA - Erie,11.0,4882.454545,4536.636364,4233.727273,D86
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,41.0,4924.292683,4343.170732,3821.707317,I02
100277.0,DOUGLAS GARDENS HOSPITAL,5200 NE 2ND AVE,MIAMI,FL,33137.0,FL - Miami,27.0,4964.296296,4428.62963,3761.37037,D31
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,12.0,4986.416667,4046.666667,3674.666667,L11
370178.0,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960.0,OK - Tulsa,13.0,5032.769231,4665.846154,3789.384615,D26
